style,view,shoe,speed_mph,run_folder,stride_idx,contact_ms,air_ms,stride_ms,ratio,pct_contact,knee_angle_deg,ankle_ahead_knee_px,toeoff_ankle_knee_px,cadence_spm,loading_rate,flight_arc_px,hip_osc_px
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,0,433,333,766,1.3003003003003002,56.527415143603136,159.08159519260607,17.6084793350401,301.30490560625583,78.3289817232376,0.43797372967480813,146.4947617541901,
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,1,467,333,800,1.4024024024024024,58.375,172.33975029994735,-37.916461516563686,290.0859749072481,75.0,0.413570223405104,155.24848530253053,79.44221330258281
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,2,467,333,800,1.4024024024024024,58.375,169.75124672683035,-26.47028238527355,298.24383993624576,75.0,0.5521450345565727,143.07918607199144,75.8549574018991
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,3,434,366,800,1.185792349726776,54.25,170.16775946057206,-36.55633704549382,277.1665718156132,75.0,0.5298300709870446,147.57379403119057,75.10466830368367
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,4,400,367,767,1.0899182561307903,52.15123859191656,166.8560524457953,1.0545384607878532,283.9532300304156,78.22685788787484,0.42075557015790854,149.00770039310362,79.62416456515223
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,5,400,367,767,1.0899182561307903,52.15123859191656,163.77170694847095,-4.860996887180704,273.1464551948395,78.22685788787484,0.32072118264525995,148.46918950173608,85.53939440572984
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,6,433,367,800,1.1798365122615804,54.125,167.8561123950267,-21.84587770759083,277.34689304809353,75.0,0.4952981920055687,149.146920115561,72.1670028233062
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,7,433,367,800,1.1798365122615804,54.125,166.13069487116704,-17.111723251505055,283.82716232417476,75.0,0.46785981083491224,148.72622317832918,69.06385615114829
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,8,433,367,800,1.1798365122615804,54.125,169.90871077062073,-25.078489955688838,304.6023955583511,75.0,0.3625348070533689,147.6056675483269,67.23840274419223
normal,perpendicular,ASICS Gel-Nimbus,5.0,20260609_180856,9,433,367,800,1.1798365122615804,54.125,168.6949218026017,-17.600400722614495,271.5620424808085,75.0,0.3111717211924908,152.61706523164503,77.24243979174054
